t,Vin,Vout RC = 1,Vout RC = 0.1,Vout RC = 0.01
0.0,1.0,0.0,0.0,0.0
0.01,1.0,0.009950166250000001,0.0951625,0.625
0.02,1.0,0.019801326691597364,0.18126909859375,0.859375
0.03,1.0,0.029554466449045406,0.2591815779988223,0.947265625
0.04,1.0,0.03921056084444736,0.3296797110825094,0.980224609375
0.05,1.0,0.04877057549528937,0.3934690655766201,0.992584228515625
0.06,1.0,0.058235466411003065,0.45118806562368496,0.9972190856933594
0.07,1.0,0.0676061800885673,0.503414381328771,0.9989571571350098
0.08,1.0,0.07688365360715861,0.5506707102655719,0.9996089339256287
0.09,1.0,0.08606881472185997,0.5934300087999245,0.9998533502221107
0.1,1.0,0.09516258195643701,0.6321202255875017,0.9999450063332915
0.11,1.0,0.10416586469519121,0.6671285846200311,0.9999793773749843
0.12,1.0,0.11307956327389905,0.6988054606861274,0.9999922665156191
0.13,1.0,0.12190456906984636,0.7274678860335838,0.9999970999433572
0.14,1.0,0.13064176459096677,0.7534027233289129,0.9999989124787589
0.15,1.0,0.1392920235640933,0.7768695366701253,0.9999995921795346
0.16,1.0,0.14785621102233165,0.7981031893867545,0.9999998470673255
0.17,1.0,0.15633518339156438,0.8173161946267374,0.999999942650247
0.18,1.0,0.16472978857609408,0.8347008422555705,0.9999999784938427
0.19,1.0,0.17304086604343458,0.8504311233544247,0.999999991935191
0.2,1.0,0.18126924690825844,0.8646644715782092,0.9999999969756966
0.21,1.0,0.18941575401550897,0.8775433388016479,0.9999999988658863
0.22,1.0,0.19748120202268554,0.889196620822936,0.9999999995747073
0.23,1.0,0.20546639748131,0.8997409473938733,0.9999999998405152
0.24,1.0,0.21337213891758236,0.9092818494875039,0.9999999999401932
0.25,1.0,0.22119921691223432,0.9179148154856493,0.9999999999775724
0.26,1.0,0.22894841417958778,0.9257262468569962,0.9999999999915896
0.27,1.0,0.236620505645827,0.9327943228904674,0.9999999999968461
0.28,1.0,0.24421625852649198,0.9391897831384033,0.9999999999988173
0.29,1.0,0.2517364324032004,0.944976635400495,0.9999999999995565
0.3,1.0,0.2591817792996067,0.9502127963341954,0.9999999999998337
0.31,1.0,0.26655304375660477,0.9549506711030425,0.9999999999999376
0.32,1.0,0.273850962906783,0.9592376778641992,0.9999999999999766
0.33,1.0,0.28107626654813794,0.9631167223444473,0.9999999999999912
0.34,1.0,0.28822967721705467,0.9666266272543439,0.9999999999999967
0.35000000000000003,1.0,0.29531191026056114,0.9698025208382524,0.9999999999999988
0.36,1.0,0.30232367390786347,0.9726761884489822,0.9999999999999996
0.37,1.0,0.30926566934116945,0.9752763906657059,0.9999999999999998
0.38,1.0,0.3161385907658073,0.9776291511389806,0.9999999999999999
0.39,1.0,0.3229431254796468,0.9797580170437173,1.0
0.4,1.0,0.3296799539418297,0.9816842947467946,1.0
0.41000000000000003,1.0,0.33634974984081617,0.9834272630479528,1.0
0.42,1.0,0.34295318016175413,0.985004366128152,1.0
0.43,1.0,0.3494909052531785,0.9864313881364818,1.0
0.44,1.0,0.35596357889304636,0.9877226111629438,1.0
0.45,1.0,0.36237184835411557,0.9888909581781502,1.0
0.46,1.0,0.36871635446867235,0.989948122370522,1.0
0.47000000000000003,1.0,0.37499773169261513,0.9909046841754372,1.0
0.48,1.0,0.38121660816890074,0.9917702171675922,1.0
0.49,1.0,0.38737360579035907,0.9925533838763811,1.0
0.5,1.0,0.393469340261883,0.993262022483245,1.0
0.51,1.0,0.39950442116199947,0.9939032252686832,1.0
0.52,1.0,0.40547945200382757,0.9944834095940521,1.0
0.53,1.0,0.41139503029543056,0.9950083821285581,1.0
0.54,1.0,0.41725174759956724,0.9954833969642493,1.0
0.55,1.0,0.4230501895928485,0.9959132082006389,1.0
0.56,1.0,0.42879093612430563,0.9963021175252456,1.0
0.5700000000000001,1.0,0.43447456127337564,0.9966540172662494,1.0
0.58,1.0,0.44010163340730973,0.9969724293481499,1.0
0.59,1.0,0.44567271523801044,0.9972605405403066,1.0
0.6,1.0,0.45118836387830336,0.9975212343511396,1.0
0.61,1.0,0.45664913089764875,0.9977571198871993,1.0
0.62,1.0,0.4620555623772991,0.9979705579659337,1.0
0.63,1.0,0.46740819896490776,0.9981636847435006,1.0
0.64,1.0,0.47270757592859386,0.9983384330940972,1.0
0.65,1.0,0.4779542232104699,0.9984965519547802,1.0
0.66,1.0,0.4831486654796361,0.9986396238293834,1.0
0.67,1.0,0.48829142218464805,0.9987690806267198,1.0
0.68,1.0,0.4933830076054619,0.9988862179915795,1.0
0.6900000000000001,1.0,0.49842393090486253,0.9989922082719558,1.0
0.7000000000000001,1.0,0.5034146961793806,0.9990881122522758,1.0
0.71,1.0,0.5083558025097026,0.9991748897700686,1.0
0.72,1.0,0.5132477440105788,0.9992534093223244,1.0
0.73,1.0,0.5180910098802362,0.9993244567576888,1.0
0.74,1.0,0.5228860844492974,0.9993887431414852,1.0
0.75,1.0,0.5276334472292153,0.9994469118722836,1.0
0.76,1.0,0.5323335729602241,0.9994995451212374,1.0
0.77,1.0,0.5369869316588134,0.9995471696586377,1.0
0.78,1.0,0.5415939886647309,0.9995902621259976,1.0
0.79,1.0,0.5461552046875162,0.9996292538064323,1.0
0.8,1.0,0.5506710358525726,0.9996645349410777,1.0
0.81,1.0,0.5551419337467798,0.9996964586347473,1.0
0.8200000000000001,1.0,0.5595683454636529,0.9997253443899182,1.0
0.8300000000000001,1.0,0.563950713648052,0.9997514813044126,1.0
0.84,1.0,0.5682894765404478,0.9997751309647814,1.0
0.85,1.0,0.5725850680207449,0.9997965300643454,1.0
0.86,1.0,0.5768379176516709,0.9998158927720971,1.0
0.87,1.0,0.581048450721733,0.9998334128761724,1.0
0.88,1.0,0.5852170882877468,0.9998492657233436,1.0
0.89,1.0,0.5893442472169428,0.999863609973946,1.0
0.9,1.0,0.5934303402286532,0.9998765891898004,1.0
0.91,1.0,0.597475775935584,0.999888333271026,1.0
0.92,1.0,0.6014809588846772,0.999898959756122,1.0
0.93,1.0,0.6054462895975653,0.99990857499833,1.0
0.9400000000000001,1.0,0.6093721646106239,0.9999172752300514,1.0
0.9500000000000001,1.0,0.6132589765146259,0.9999251475259716,1.0
0.96,1.0,0.6171071139940005,0.9999322706745314,1.0
0.97,1.0,0.6209169618657026,0.9999387159664663,1.0
0.98,1.0,0.6246889011176939,0.9999445479083074,1.0
0.99,1.0,0.628423308947043,0.9999498248679831,1.0
1.0,-1.0,0.6321205587976448,0.9999545996589837,1.0
1.01,-1.0,0.6158806878975653,0.8096339200689356,-0.25
1.02,-1.0,0.5998024064128202,0.6374246321503756,-0.71875
1.03,-1.0,0.5838841065018626,0.48160321059336547,-0.89453125
1.04,-1.0,0.5681241963214364,0.3406101450652743,-0.96044921875
1.05,-1.0,0.5525210998673905,0.21303433213550016,-0.98516845703125
1.06,-1.0,0.5370732568170771,0.09759895250365562,-0.9944381713867188
1.07,-1.0,0.5217791223733182,-0.006851307813973528,-0.9979143142700195
1.08,-1.0,0.5066371671099247,-0.10136182023412627,-0.9992178678512573
1.09,-1.0,0.4916458768187519,-0.18687847601609625,-0.9997067004442215
1.1,-1.0,0.47680375235827827,-0.2642571530422145,-0.9998900126665831
1.11,-1.0,0.46210930950368956,-0.33427228171583473,-0.9999587547499686
1.12,-1.0,0.44756107879845514,-0.3976245957070516,-0.9999845330312382
1.1300000000000001,-1.0,0.43315760540738113,-0.4549481451180793,-0.9999941998867143
1.1400000000000001,-1.0,0.4188974489711258,-0.50681664225828,-0.9999978249575179
1.1500000000000001,-1.0,0.4047791834621622,-0.5537492035393765,-0.9999991843590692
1.16,-1.0,0.3908013970421744,-0.5962155449575606,-0.999999694134651
1.17,-1.0,0.3769626919208725,-0.6346406831605367,-0.9999998853004941
1.18,-1.0,0.3632616842162123,-0.669409189149272,-0.9999999569876853
1.19,-1.0,0.349697003816006,-0.7008690371868544,-0.9999999838703819
1.2,-1.0,0.33626729424090984,-0.7293350874355604,-0.9999999939513933
1.21,-1.0,0.32297121250877514,-0.7550922371774739,-0.9999999977317725
1.22,-1.0,0.30980742900034874,-0.7783982721570725,-0.9999999991494146
1.23,-1.0,0.2967746273263102,-0.799486446582925,-0.9999999996810305
1.24,-1.0,0.2838715041956316,-0.8185678176099774,-0.9999999998803865
